xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,subType,scoreDiff,shotPct,clutchFlag
-28,167,17,1,1,Pullup Jump shot,-10.0,0.459,0
-229,74,24,1,1,Jump Shot,-10.0,0.396,0
-22,73,8,1,1,Fadeaway Jump Shot,8.0,0.445,0
-91,235,25,1,1,Jump Shot,-11.0,0.396,0
-230,152,28,0,1,Jump Shot,9.0,0.363,0
66,111,13,1,1,Pullup Jump shot,-12.0,0.465,0
-93,86,13,1,1,Turnaround Fadeaway shot,12.0,0.459,0
-13,37,4,1,1,Driving Finger Roll Layup Shot,-14.0,0.465,0
-169,215,27,0,1,Jump Shot,-15.0,0.363,0
20,18,3,1,1,Driving Reverse Layup Shot,16.0,0.445,0
229,137,27,0,1,Step Back Jump shot,16.0,0.387,0
-232,57,24,1,1,Step Back Jump shot,14.0,0.343,0
23,41,5,1,1,Running Layup Shot,12.0,0.465,0
-124,236,27,0,1,Jump Shot,-15.0,0.316,0
12,271,27,1,1,Pullup Jump shot,-16.0,0.387,0
7,270,27,0,1,Jump Shot,16.0,0.352,0
-96,67,12,0,1,Turnaround Jump Shot,-19.0,0.526,0
-23,37,4,0,1,Driving Layup Shot,19.0,0.459,0
223,0,0,0,1,Jump Shot,19.0,0.316,0
29,267,27,1,1,Pullup Jump shot,19.0,0.363,0
-13,34,4,0,1,Driving Layup Shot,19.0,0.261,0
-147,211,26,0,1,Jump Shot,22.0,0.343,0
199,159,25,0,1,Pullup Jump shot,22.0,0.363,0
-36,25,4,0,1,Running Finger Roll Layup Shot,22.0,0.445,0
-233,34,24,0,1,Jump Shot,22.0,0.352,0
145,180,23,0,1,Step Back Jump shot,22.0,0.467,0
33,-2,3,1,1,Driving Layup Shot,-22.0,0.467,0
-170,196,26,1,1,Pullup Jump shot,-22.0,0.418,0
-224,-2,0,0,1,Jump Shot,-24.0,0.351,0
32,17,4,1,1,Running Layup Shot,-21.0,0.467,0
-6,6,1,1,1,Cutting Dunk Shot,22.0,0.533,0
66,272,28,1,1,Pullup Jump shot,22.0,0.352,0
-9,17,2,0,1,Cutting Layup Shot,-24.0,0.454,0
-11,263,26,0,1,Pullup Jump shot,-21.0,0.387,0
-4,55,6,0,1,Layup Shot,21.0,0.465,0
168,188,25,1,1,Running Jump Shot,-21.0,0.403,0
-125,35,13,1,1,Driving Floating Bank Jump Shot,-21.0,0.467,0
-234,143,27,0,1,Pullup Jump shot,18.0,0.403,0
2,86,9,0,1,Driving Layup Shot,20.0,0.454,0
5,28,3,1,1,Layup Shot,-20.0,0.454,0
-159,83,18,0,1,Turnaround Fadeaway shot,20.0,0.465,0
9,92,9,0,1,Fadeaway Jump Shot,17.0,0.52,0
33,13,4,0,1,Running Layup Shot,16.0,0.471,0
-9,21,2,1,1,Putback Layup Shot,16.0,0.667,0
-9,24,3,1,1,Dunk Shot,16.0,0.533,0
-25,52,6,0,1,Hook Shot,14.0,0.667,0
234,8,0,0,1,Jump Shot,16.0,0.418,0
-16,31,3,1,1,Driving Reverse Layup Shot,-16.0,0.454,0
129,248,28,1,1,Jump Shot,16.0,0.351,0
221,50,0,1,1,Pullup Jump shot,14.0,0.418,0
112,96,15,1,1,Pullup Jump shot,-17.0,0.52,0
-17,38,4,0,1,Layup Shot,14.0,0.459,0
-211,160,26,0,1,Jump Shot,16.0,0.418,0
21,21,3,0,1,Running Layup Shot,16.0,0.52,0
45,30,5,1,1,Tip Layup Shot,-16.0,0.465,0
-124,37,13,0,1,Pullup Jump shot,17.0,0.533,0
17,10,2,0,1,Running Layup Shot,16.0,0.459,0
-233,17,0,0,1,Jump Shot,-18.0,0.352,0
-5,0,1,1,1,Cutting Dunk Shot,-19.0,0.533,0
-20,26,3,1,1,Alley Oop Dunk Shot,19.0,0.642,0
125,22,13,0,1,Fadeaway Jump Shot,-21.0,0.52,0
51,274,28,1,1,Running Pull-Up Jump Shot,19.0,0.316,0
21,71,7,0,1,Layup Shot,-19.0,0.533,0
0,0,0,0,1,Tip Layup Shot,-16.0,0.533,0
98,249,27,0,1,Pullup Jump shot,-16.0,0.316,0
0,42,4,0,1,Hook Shot,16.0,0.261,0
-205,146,25,1,1,Jump Shot,16.0,0.358,0
22,251,25,0,1,Jump Shot,16.0,0.185,0
235,109,26,0,1,Pullup Jump shot,-19.0,0.387,0
78,262,27,0,1,Pullup Jump shot,19.0,0.418,0
-219,151,27,0,1,Running Pull-Up Jump Shot,-19.0,0.358,0
62,38,7,1,1,Running Layup Shot,19.0,0.459,0
-227,-5,0,0,1,Jump Shot,-19.0,0.351,0
-20,6,2,1,1,Running Reverse Layup Shot,17.0,0.471,0
11,64,6,0,1,Driving Finger Roll Layup Shot,-17.0,0.465,0
70,245,25,1,1,Pullup Jump shot,14.0,0.414,0
-210,155,26,1,1,Jump Shot,13.0,0.389,0
2,6,1,1,1,Driving Dunk Shot,16.0,0.459,0
43,251,25,0,1,Jump Shot,-12.0,0.316,0
-156,230,28,1,1,Pullup Jump shot,13.0,0.352,0
223,10,0,0,1,Running Jump Shot,-13.0,0.418,0
-32,13,3,0,1,Driving Layup Shot,10.0,0.5,0
