gameId,actionNumber,teamId,personId,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,location,actionType,subType,shotValue,actionId,scoreDiff,clutchFlag
0022400719,504,1610612759,1641705,V. Wembanyama,0,0,0,1,1,97,103,v,Made Shot,Tip Layup Shot,2,363,0.0,0
0022400743,490,1610612759,1630170,D. Vassell,-59,100,12,0,1,0,0,v,Missed Shot,Fadeaway Jump Shot,2,363,7.0,0
0022400757,509,1610612764,1630557,C. Kispert,152,545,57,0,1,0,0,h,Missed Shot,Pullup Jump shot,3,363,-4.0,0
0022400769,504,1610612738,201143,A. Horford,22,39,4,0,1,0,0,h,Missed Shot,Driving Hook Shot,2,363,0.0,0
0022400844,495,1610612759,1630572,S. Mamukelashvili,-16,-1,2,0,1,0,0,v,Missed Shot,Cutting Layup Shot,2,363,0.0,0
0022400888,511,1610612759,1628368,D. Fox,-10,26,3,1,1,99,80,h,Made Shot,Driving Layup Shot,2,363,0.0,0
0022400937,520,1610612759,1628368,D. Fox,-15,260,26,0,1,0,0,h,Missed Shot,Running Pull-Up Jump Shot,3,363,0.0,0
0022400964,510,1610612759,1642264,S. Castle,136,228,27,1,1,100,121,h,Made Shot,Jump Shot,3,363,0.0,0
0022400973,532,1610612740,1628964,M. Bamba,-4,4,1,1,1,92,87,v,Made Shot,Alley Oop Dunk Shot,2,363,0.0,0
0022401003,479,1610612752,1629013,L. Shamet,-115,25,12,1,1,83,70,v,Made Shot,Pullup Jump shot,2,363,0.0,0
0022401046,502,1610612765,1627736,M. Beasley,-33,54,6,1,1,93,74,h,Made Shot,Driving Floating Jump Shot,2,363,0.0,0
0022401086,515,1610612759,1629162,J. McLaughlin,16,256,26,1,1,73,109,h,Made Shot,Jump Shot,3,363,-39.0,0
0022401110,481,1610612759,1642264,S. Castle,103,59,12,0,1,0,0,v,Missed Shot,Driving Floating Jump Shot,2,363,0.0,0
0022401155,495,1610612759,1629640,K. Johnson,22,15,3,1,1,94,85,v,Made Shot,Driving Layup Shot,2,363,0.0,0
0022401182,492,1610612756,1628960,G. Allen,-25,59,6,0,1,0,0,h,Missed Shot,Turnaround Hook Shot,2,363,24.0,0
0022401197,503,1610612761,1642367,J. Mogbo,11,66,7,0,1,0,0,v,Missed Shot,Driving Floating Jump Shot,2,363,0.0,0
0022401218,501,1610612759,1629646,C. Bassey,-15,42,4,1,1,68,72,h,Made Shot,Cutting Layup Shot,2,363,0.0,0
0022400015,504,1610612747,1626156,D. Russell,-165,220,28,0,1,0,0,v,Missed Shot,Jump Shot,3,365,4.0,0
0022400038,514,1610612762,1641729,B. Sensabaugh,-60,111,13,0,1,0,0,h,Missed Shot,Driving Floating Jump Shot,2,365,0.0,0
0022400074,511,1610612742,1628467,M. Kleber,-224,28,0,1,1,83,75,h,Made Shot,Running Jump Shot,3,365,0.0,0
0022400094,492,1610612745,1629111,J. Landale,-2,132,13,1,1,83,67,v,Made Shot,Floating Jump shot,2,365,-15.0,0
0022400109,500,1610612745,1627832,F. VanVleet,135,224,26,0,1,0,0,v,Missed Shot,Step Back Jump shot,3,365,16.0,0
0022400125,496,1610612760,1631114,J. Williams,-132,121,18,0,1,0,0,h,Missed Shot,Turnaround Fadeaway shot,2,365,0.0,0
0022400269,526,1610612759,1631104,B. Wesley,-4,16,2,0,1,0,0,h,Missed Shot,Driving Layup Shot,2,365,0.0,0
0022400296,520,1610612747,2544,L. James,0,0,0,0,1,0,0,v,Missed Shot,Tip Layup Shot,2,365,0.0,0
0022400394,501,1610612755,202331,P. George,27,51,6,0,1,0,0,h,Missed Shot,Cutting Layup Shot,2,365,0.0,0
0022400405,494,1610612752,1628973,J. Brunson,17,169,17,0,1,0,0,h,Missed Shot,Step Back Jump shot,2,365,0.0,0
0022400421,507,1610612751,1630553,K. Johnson,167,197,26,0,1,0,0,h,Missed Shot,Jump Shot,3,365,-12.0,0
0022400484,514,1610612743,201599,D. Jordan,-11,52,5,0,1,0,0,v,Missed Shot,Hook Shot,2,365,0.0,0
0022400498,488,1610612741,1630188,J. Smith,0,0,0,1,1,82,92,h,Made Shot,Putback Layup Shot,2,365,0.0,0
0022400537,511,1610612759,1642264,S. Castle,211,138,25,1,1,101,85,v,Made Shot,Jump Shot,3,365,-18.0,0
